Name,MS_FSM_External_Id__c,MS_FSM_EH_Column_Name__c,MS_FSM_Data_Type__c,MS_FSM_EH_Column_Number__c,MS_FSM_EH_Table_Id__c,MS_FSM_Target_Field__c
Master Part Record - Type,bnjiec2wn-109,Type,text,109,bnjiec2wn,QuantityUnitOfMeasure
Master Part Record - PartNumber_Rev,bnjiec2wn-21,PartNumber_Rev,text,21,bnjiec2wn,ProductCode
Master Part Record - Part Number MRP - Cost with Override,bnjiec2wn-382,Part Number MRP - Cost with Override,decimal,382,bnjiec2wn,MS_FSM_Cost__c
Master Part Record - Is Serialized,bnjiec2wn-664,Is Serialized,boolean,664,bnjiec2wn,IsSerialized
Master Part Record - FSM Product Type,bnjiec2wn-665,FSM Product Type,text,665,bnjiec2wn,MS_FSM_Product_Type__c
Master Part Record - Part Number MRP - Generic Part Name,bnjiec2wn-680,Part Number MRP - Generic Part Name,text,680,bnjiec2wn,Family
Master Part Record - FSM Part State,bnjiec2wn-694,FSM Part State,boolean,694,bnjiec2wn,IsActive
Master Part Record - Part Number MRP - Part Name - FSM Asset Placement Required?,bnjiec2wn-701,Description,boolean,701,bnjiec2wn,MS_FSM_Require_Asset_Placement__c	
Master Part Record - Description,bnjiec2wn-9,Description,text,9,bnjiec2wn,
Inventory - Serial Number,bnk5gmxgy-10,Quantity,text,10,bnk5gmxgy,SerialNumber
Inventory - FSM Load Component Hierarchy,bnk5gmxgy-1012,FSM Load Component Hierarchy,boolean,1012,bnk5gmxgy,
Inventory - Core Package - Unit Tag,bnk5gmxgy-1022,Core Package - Unit Tag,text,1022,bnk5gmxgy,
Inventory - Serial Number - Line Item - Price,bnk5gmxgy-1029,Serial Number - Line Item - Price,decimal,1029,bnk5gmxgy,
Inventory - EH Record Id,bnk5gmxgy-3,EH Record Id,text,3,bnk5gmxgy,
Inventory - Rev Number,bnk5gmxgy-33,Rev Number,text,33,bnk5gmxgy,
Inventory - Quantity UoM,bnk5gmxgy-39,Quantity UoM,text,39,bnk5gmxgy,QuantityUnitOfMeasure
Inventory - Location Id,bnk5gmxgy-47,Location Id,text,47,bnk5gmxgy,
Inventory - Quantity,bnk5gmxgy-7,Quantity,decimal,341,bnk5gmxgy,QuantityOnHand
Assembly - Assembly Serial Number,bnnfe2qf9-12,Assembly Serial Number,text,12,bnnfe2qf9,SerialNumber
Assembly - Record ID #,bnnfe2qf9-3,Record ID#,text,3,bnnfe2qf9,MS_FSM_EtaHub_Record_Id__c
Assembly - Customer Name,bnnfe2qf9-318,Customer Name,text,318,bnnfe2qf9,
Assembly - Location Id,bnnfe2qf9-522,Location Id,text,559,bnnfe2qf9,MS_FSM_Temporary_Location_Id__c
Assembly - Account Id,bnnfe2qf9-524,Account Id,text,561,bnnfe2qf9,
Assembly - Associated Node,bnnfe2qf9-525,Associated Node,text,525,bnnfe2qf9,MS_FSM_Node_Name__c
Assembly - Manufacture Date,bnnfe2qf9-526,Manufacture Date,date,526,bnnfe2qf9,ManufactureDate
Assembly - LGen SN - Short Form,bnnfe2qf9-527,LGen SN - Short Form,text,527,bnnfe2qf9,MS_FSM_LGen_SN_Short_Form__c
Assembly - Customer Site Name,bnnfe2qf9-533,Customer Site Name,text,560,bnnfe2qf9,MS_FSM_Customer_Site_Name__c
Assembly - Site Street,bnnfe2qf9-534,Site Street,text,553,bnnfe2qf9,
Assembly - Site Street 2,bnnfe2qf9-535,Site Street 2,text,554,bnnfe2qf9,
Assembly - Site City,bnnfe2qf9-536,Site City,text,555,bnnfe2qf9,
Assembly - Site State,bnnfe2qf9-537,Site State,text,556,bnnfe2qf9,
Assembly - Site Postal Code,bnnfe2qf9-538,Site Postal Code,text,557,bnnfe2qf9,
Assembly - Site Country,bnnfe2qf9-539,Site Country,text,558,bnnfe2qf9,
